country,country_code,Acute hepatitis A,Acute hepatitis B,Acute hepatitis C,Acute hepatitis E,African trypanosomiasis,Alcohol use disorders,Alzheimer disease and other dementias,Anxiety disorders,Appendicitis,Ascariasis,Asthma,Autism and Asperger syndrome,Back and neck pain,Benign prostatic hyperplasia,Bipolar disorder,Bladder cancer,Brain and nervous system cancers,Breast cancer,"Cardiomyopathy, myocarditis, endocarditis",Cataracts,Cervix uteri cancer,Chagas disease,Childhood behavioural disorders,Chlamydia,Chronic obstructive pulmonary disease,Cirrhosis of the liver,Collective violence and legal intervention,Colon and rectum cancers,Congenital anomalies,Corpus uteri cancer,Cysticercosis,Dengue,Depressive disorders,Diabetes mellitus,Diarrhoeal diseases,Diphtheria,Drowning,Drug use disorders,Eating disorders,Echinococcosis,Encephalitis,Epilepsy,Exposure to mechanical forces,Falls,"Fire, heat and hot substances",Food-bourne trematodes,Gallbladder and biliary diseases,Gallbladder and biliary tract cancer,Gastritis and duodenitis,Genital herpes,Glaucoma,Gonorrhoea,Gout,Gynecological diseases,HIV/AIDS,Hookworm disease,Hypertensive heart disease,Idiopathic intellectual disability,Infertility,Inflammatory bowel disease,Interpersonal violence,Iodine deficiency,Iron-deficiency anaemia,Ischaemic heart disease,Kidney cancer,Kidney diseases,Larynx cancer,Leishmaniasis,Leprosy,Leukaemia,Liver cancer,Lower respiratory infections,Lymphatic filariasis,"Lymphomas, multiple myeloma",Macular degeneration,Malaria,Maternal conditions,Measles,Melanoma and other skin cancers,Meningitis,Mesothelioma,Migraine,Mouth and oropharynx cancers,Multiple sclerosis,Natural disasters,Neonatal conditions,Non-migraine headache,Oesophagus cancer,Onchocerciasis,Oral conditions,Osteoarthritis,Other hearing loss,Other vision loss,Otitis media,Ovary cancer,Pancreas cancer,Pancreatitis,Paralytic ileus and intestinal obstruction,Parkinson disease,Peptic ulcer disease,Poisonings,Prostate cancer,Protein-energy malnutrition,Rabies,Rheumatic heart disease,Rheumatoid arthritis,Road injury,Schistosomiasis,Schizophrenia,Self-harm,Sickle cell disorders and trait,Skin diseases,Stomach cancer,Stroke,Sudden infant death syndrome,Syphilis,Testicular cancer,Tetanus,Thalassaemias,Thyroid cancer,"Trachea, bronchus, lung cancers",Trachoma,Trichomoniasis,Trichuriasis,Tuberculosis,Uncorrected refractive errors,Upper respiratory infections,Urolithiasis,Vitamin A deficiency,Whooping cough,Yellow fever,Grand Total,year
Indonesia,IDN,0.62,1.05,0.20,0.06,0.00,0.21,10.00,0.00,0.41,0.00,10.21,0.00,0.00,0.00,0.00,1.37,1.66,8.92,3.53,0.00,7.13,0.00,0.00,0.00,28.92,33.10,0.05,6.66,5.50,0.97,0.00,2.94,0.00,40.83,23.64,0.00,1.66,0.35,0.00,0.05,0.57,0.26,0.74,6.81,0.52,0.00,2.39,0.43,0.04,0.00,0.00,0.01,0.00,0.20,12.68,0.00,20.29,0.00,0.00,0.34,4.29,0.00,0.00,95.82,0.49,15.90,0.62,0.00,0.00,4.33,7.28,19.42,0.00,4.16,0.00,0.43,2.29,0.08,1.39,1.16,0.06,0.00,5.94,0.09,0.23,16.79,0.00,0.44,0.00,0.00,0.00,0.00,0.00,0.00,3.14,2.00,1.29,4.93,3.13,0.80,0.29,2.11,7.38,0.21,0.45,0.15,11.33,0.00,0.00,2.42,0.00,1.38,1.04,131.98,0.32,0.80,0.12,1.01,0.21,0.88,10.58,0.00,0.00,0.00,33.29,0.00,0.02,0.34,0.00,0.81,0.00,638.95,2019.00
India,IND,1.04,0.59,0.09,0.03,0.00,1.69,9.26,0.00,0.82,0.00,14.35,0.00,0.00,0.00,0.00,1.03,1.74,6.06,0.93,0.00,3.32,0.00,0.00,0.02,64.38,19.65,0.05,5.65,6.05,0.50,0.00,1.28,0.00,19.87,49.07,0.00,3.57,0.86,0.00,0.02,3.51,2.22,1.20,16.53,1.70,0.00,0.55,1.99,0.25,0.00,0.00,0.08,0.00,0.27,3.25,0.00,7.91,0.00,0.00,0.30,3.78,0.00,0.00,111.24,0.63,16.31,2.20,0.06,0.00,2.45,2.22,28.72,0.00,2.94,0.00,0.57,1.90,0.87,0.37,2.44,0.17,0.00,9.82,0.17,0.15,31.77,0.00,2.84,0.00,0.00,0.00,0.00,0.00,0.00,1.61,2.40,1.47,3.73,3.18,4.98,0.25,2.26,0.62,0.47,9.22,0.87,15.56,0.00,0.00,12.69,0.18,1.31,5.94,51.01,0.19,0.14,0.13,0.52,0.02,0.50,6.46,0.00,0.00,0.00,31.91,0.00,0.04,0.13,0.00,0.73,0.00,631.78,2019.00
Iran (Islamic Republic of),IRN,0.04,0.51,0.00,0.00,0.00,0.30,13.32,0.00,0.19,0.00,4.05,0.00,0.00,0.00,0.00,1.69,4.79,4.50,1.95,0.00,0.60,0.00,0.00,0.00,13.75,8.00,1.02,5.52,5.84,0.43,0.00,0.00,0.00,16.78,2.22,0.00,1.12,2.71,0.00,0.01,0.29,0.87,3.10,3.40,2.19,0.00,0.82,0.49,0.11,0.00,0.00,0.01,0.00,0.01,3.03,0.00,19.80,0.00,0.00,0.15,3.05,0.00,0.00,112.53,0.75,14.24,1.54,0.00,0.00,4.79,4.49,13.56,0.00,3.48,0.00,0.00,0.34,0.00,0.62,0.78,0.02,0.00,0.78,0.50,0.15,12.38,0.00,2.85,0.00,0.00,0.00,0.00,0.00,0.00,1.12,2.91,0.44,0.85,3.07,1.50,0.99,4.32,0.18,0.00,1.21,0.08,21.48,0.00,0.00,5.23,0.27,0.27,11.85,44.30,0.25,0.05,0.11,0.03,0.11,0.38,8.19,0.00,0.00,0.00,1.06,0.00,0.01,0.02,0.00,0.09,0.00,410.81,2019.00
Italy,ITA,1.64,0.55,4.04,0.01,0.00,0.46,68.44,0.00,0.07,0.00,0.80,0.00,0.48,0.40,0.14,11.08,7.27,22.91,9.13,0.00,1.91,0.00,0.00,0.00,53.47,9.19,0.00,35.11,2.38,3.63,0.00,0.00,0.00,32.75,2.68,0.00,0.56,1.08,0.00,0.00,0.01,2.21,0.57,6.98,0.45,0.00,3.74,6.21,0.19,0.00,0.03,0.00,0.03,0.00,0.86,0.00,49.42,0.31,0.00,1.07,0.67,0.00,2.76,160.39,6.84,21.02,2.80,0.00,0.00,11.12,15.89,26.99,0.00,15.97,0.00,0.00,0.01,0.00,5.35,0.20,2.86,0.00,5.51,1.11,0.00,1.27,0.00,3.37,0.00,0.07,0.79,0.01,0.00,0.02,5.42,19.97,1.83,4.76,13.92,1.14,0.25,13.89,1.28,0.00,3.66,1.16,5.32,0.00,0.71,6.67,0.00,2.38,16.93,103.44,0.03,0.00,0.16,0.03,0.05,0.96,56.40,0.00,0.00,0.00,0.56,0.00,0.03,0.00,0.00,0.00,0.00,888.20,2019.00
Japan,JPN,0.07,1.12,1.75,0.03,0.00,0.45,44.88,0.00,0.09,0.00,1.51,0.00,0.64,0.13,0.06,7.84,2.24,12.45,6.47,0.00,3.00,0.00,0.00,0.00,61.62,11.19,0.00,45.20,1.95,2.72,0.00,0.00,0.00,4.28,2.15,0.00,6.63,0.58,0.00,0.00,0.00,1.22,0.43,7.67,0.79,0.00,6.08,16.50,0.08,0.00,0.00,0.00,0.01,0.00,0.03,0.00,5.26,0.11,0.00,0.25,0.20,0.00,0.69,129.20,7.98,35.30,0.77,0.00,0.00,7.57,23.17,85.06,0.00,15.20,0.00,0.00,0.03,0.00,1.46,0.24,1.30,0.00,6.57,0.08,0.06,0.36,0.00,9.70,0.00,0.08,0.06,0.00,0.00,0.00,3.99,29.18,1.15,5.87,11.04,2.29,0.20,10.65,1.50,0.00,2.01,2.06,3.59,0.00,0.83,15.35,0.00,2.20,39.75,96.03,0.08,0.01,0.06,0.01,0.01,1.63,62.81,0.00,0.00,0.00,2.73,0.00,0.12,0.00,0.00,0.00,0.00,877.73,2019.00
Republic of Korea,KOR,0.10,1.03,0.32,0.00,0.00,2.11,23.71,0.00,0.11,0.00,2.25,0.00,0.31,0.10,0.01,3.45,3.08,5.63,2.59,0.00,2.08,0.00,0.00,0.00,16.64,12.39,0.00,19.87,1.02,0.82,0.06,0.00,0.00,13.30,1.81,0.00,0.99,0.30,0.00,0.09,0.04,1.02,0.92,5.73,0.52,0.00,2.55,11.04,0.06,0.00,0.00,0.00,0.02,0.00,0.17,0.00,7.24,0.03,0.00,0.14,0.76,0.00,0.65,54.74,3.38,19.73,0.70,0.00,0.00,4.17,22.61,52.02,0.00,6.79,0.00,0.00,0.07,0.00,1.15,0.10,0.29,0.00,2.84,0.03,0.00,1.12,0.00,3.38,0.00,0.05,0.08,0.00,0.00,0.01,2.60,13.66,0.69,1.48,7.71,1.05,0.23,4.52,0.18,0.01,0.44,0.30,8.59,0.00,0.15,28.57,0.00,1.38,16.84,49.97,0.08,0.05,0.05,0.01,0.03,0.84,39.62,0.00,0.00,0.00,3.81,0.00,0.06,0.00,0.00,0.01,0.00,501.26,2019.00
Mexico,MEX,0.36,0.17,0.49,0.01,0.00,2.31,2.69,0.00,0.61,0.00,1.05,0.00,0.08,0.70,0.00,0.99,2.04,5.78,1.46,0.00,3.75,0.01,0.00,0.00,22.84,23.38,0.08,5.37,8.21,0.70,0.13,0.01,0.00,67.50,2.72,0.00,1.41,1.15,0.00,0.00,0.11,1.50,1.06,2.06,0.47,0.00,2.64,1.61,0.70,0.00,0.00,0.00,0.05,0.00,3.24,0.00,13.96,0.00,0.00,0.24,25.45,0.00,1.71,91.11,2.18,34.98,0.67,0.00,0.00,3.80,5.34,19.45,0.00,3.89,0.00,0.00,0.59,0.00,1.49,0.28,0.24,0.00,1.06,0.23,0.00,10.70,0.00,0.98,0.00,0.09,0.23,0.00,0.00,0.01,2.08,3.54,1.74,2.14,1.22,2.13,0.41,5.87,5.92,0.00,0.67,1.10,12.79,0.00,0.10,5.32,0.03,2.37,5.43,31.18,0.24,0.00,0.47,0.00,0.01,0.71,5.76,0.00,0.00,0.00,1.53,0.00,0.09,0.00,0.00,0.01,0.00,481.00,2019.00
Netherlands,NLD,0.02,0.08,0.12,0.01,0.00,3.59,106.15,0.10,0.15,0.00,0.96,0.00,0.75,0.25,0.20,8.61,6.61,20.68,7.02,0.00,1.56,0.00,0.00,0.00,55.95,5.47,0.00,34.09,3.19,3.31,0.00,0.00,0.00,13.96,3.41,0.00,0.57,1.35,0.00,0.00,0.01,1.69,0.39,24.17,0.30,0.00,2.38,2.86,0.09,0.00,0.01,0.00,0.12,0.00,0.19,0.00,4.79,0.58,0.00,0.46,0.63,0.00,1.46,102.95,6.16,14.80,1.49,0.00,0.00,9.23,6.79,28.93,0.00,14.68,0.00,0.00,0.05,0.00,5.99,0.45,3.44,0.01,4.50,1.73,0.00,2.08,0.00,12.55,0.00,0.13,1.29,0.00,0.00,0.06,6.24,17.52,1.48,3.58,12.40,0.76,0.11,19.10,0.07,0.00,1.39,1.25,3.97,0.00,0.57,11.84,0.00,1.73,7.97,56.78,0.06,0.01,0.14,0.00,0.00,0.74,64.22,0.00,0.00,0.00,0.17,0.00,0.17,0.00,0.00,0.01,0.00,747.87,2019.00
Poland,POL,0.00,0.14,0.49,0.00,0.00,13.82,9.77,0.00,0.18,0.00,1.42,0.00,0.04,0.08,0.00,12.41,9.42,21.02,9.22,0.00,5.04,0.00,0.00,0.00,36.09,20.87,0.00,38.57,2.42,5.70,0.00,0.00,0.00,23.62,2.21,0.00,1.68,0.85,0.00,0.02,0.02,3.02,0.83,12.43,1.25,0.00,2.33,5.65,0.39,0.00,0.00,0.00,0.01,0.00,0.30,0.00,13.03,0.03,0.00,0.76,0.78,0.00,0.03,310.65,8.67,10.73,4.83,0.00,0.00,9.13,6.04,52.78,0.00,10.92,0.00,0.00,0.02,0.00,5.68,0.45,0.94,0.00,8.92,1.31,0.00,1.85,0.00,4.75,0.00,0.01,0.05,0.00,0.00,0.00,7.74,14.32,4.89,1.40,3.96,8.16,0.54,17.13,0.77,0.00,1.60,0.97,9.38,0.00,0.08,11.30,0.00,1.24,15.60,86.29,0.06,0.00,0.42,0.01,0.00,1.03,68.04,0.00,0.00,0.00,1.58,0.00,0.04,0.00,0.00,0.00,0.00,950.23,2019.00
Russia,RUS,0.00,0.01,0.00,0.00,0.00,19.18,33.26,0.00,0.27,0.00,1.21,0.00,0.00,0.00,0.00,4.32,5.83,15.93,37.06,0.00,5.09,0.00,0.00,0.01,25.09,31.17,0.06,29.22,2.88,4.71,0.00,0.00,0.00,12.58,0.27,0.00,4.55,6.24,0.00,0.07,0.73,0.50,2.07,8.02,4.38,0.00,2.38,2.56,0.29,0.00,0.00,0.05,0.00,0.07,14.58,0.00,12.57,0.00,0.00,0.85,7.86,0.00,0.00,385.76,6.77,7.93,2.75,0.00,0.00,5.64,7.66,22.22,0.00,6.11,0.00,0.00,0.18,0.00,3.85,0.72,0.60,0.00,7.46,0.56,0.00,2.43,0.00,5.09,0.00,0.00,0.00,0.00,0.00,0.00,5.57,13.90,7.80,2.13,6.43,6.14,3.82,9.67,0.16,0.00,1.89,0.51,12.01,0.00,0.00,25.11,0.00,1.87,20.15,224.31,0.33,0.00,0.22,0.00,0.03,0.87,37.26,0.00,0.00,0.00,5.77,0.00,0.09,0.97,0.00,0.00,0.00,1148.66,2019.00
Saudi Arabia,SAU,0.03,0.17,0.02,0.01,0.00,0.38,7.13,0.00,0.10,0.00,3.41,0.00,0.00,0.00,0.00,0.63,1.25,2.65,3.93,0.00,0.45,0.00,0.00,0.00,8.28,14.38,0.00,4.76,6.73,0.94,0.00,0.03,0.00,11.35,1.33,0.00,2.38,1.43,0.01,0.01,0.69,2.03,4.66,15.59,2.41,0.00,0.90,0.57,0.02,0.00,0.00,0.00,0.00,0.00,0.58,0.00,2.44,0.00,0.00,0.10,1.88,0.00,0.00,113.92,0.75,26.41,0.26,0.00,0.00,2.69,2.47,17.89,0.00,2.09,0.00,0.00,0.50,0.00,0.16,0.66,0.09,0.00,1.36,0.14,0.00,4.89,0.00,0.67,0.00,0.00,0.00,0.00,0.00,0.00,0.72,1.53,0.62,0.97,2.26,0.80,0.82,0.43,0.23,0.00,0.81,0.02,35.94,0.07,0.00,5.97,0.71,1.50,1.14,49.01,0.42,0.09,0.07,0.05,0.03,0.43,2.26,0.00,0.00,0.00,2.20,0.00,0.00,0.00,0.00,0.16,0.00,387.87,2019.00
